#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a2
#Site=	plain
#Title=	bolusa2plain
#Remark=	com
#Date=	16.01.2026 14:06
#Acquired=	16.01.2026 14:06:16
1468.81	28
1469.87	25.5
1470.93	26
1471.99	27.5
1473.06	27.5
1474.12	25
1475.18	26
1476.24	27.5
1477.3	20.5
1478.36	30
1479.42	25.5
1480.49	27
1481.55	26.5
1482.61	26
1483.67	29
1484.73	27.5
1485.79	28.5
1486.85	28
1487.91	26.5
1488.97	26
1490.03	27
1491.09	28
1492.14	27.5
1493.2	23.5
1494.26	24
1495.32	30.5
1496.38	24
1497.44	27
1498.49	24
1499.55	24
1500.61	23.5
1501.67	25
1502.72	26.5
1503.78	25
1504.84	22.5
1505.89	27.5
1506.95	26.5
1508.01	28
1509.07	25.5
1510.12	28
1511.18	30
1512.23	27.5
1513.29	25
1514.34	24.5
1515.4	28.5
1516.45	26
1517.51	21
1518.56	26
1519.62	23.5
1520.67	26
1521.73	25
1522.78	26
1523.84	25
1524.89	25.5
1525.94	24
1527	27.5
1528.05	25.5
1529.1	25.5
1530.16	29.5
1531.21	25.5
1532.26	25.5
1533.32	30
1534.37	26.5
1535.42	24.5
1536.47	27
1537.52	27
1538.57	22
1539.63	23.5
1540.68	26.5
1541.73	24.5
1542.78	23
1543.83	24
1544.88	23.5
1545.93	26.5
1546.98	26.5
1548.03	27.5
1549.08	26
1550.13	27.5
1551.18	26
1552.23	27
1553.28	24.5
1554.33	26.5
1555.38	25.5
1556.43	27
1557.48	30
1558.53	27
1559.57	22.5
1560.62	24.5
1561.67	29.5
1562.72	23
1563.77	25
1564.81	26
1565.86	25.5
1566.91	26.5
1567.96	26
1569	25
1570.05	27
1571.09	27
1572.14	29
1573.19	23
1574.23	25.5
1575.28	24
1576.33	29
1577.37	29
1578.42	28
1579.46	27
1580.51	25.5
1581.55	24.5
1582.6	26
1583.64	27
1584.69	25.5
1585.73	26.5
1586.77	25
1587.82	29
1588.86	25
1589.91	25
1590.95	27.5
1591.99	25.5
1593.04	25
1594.08	24
1595.12	26.5
1596.16	27
1597.21	25
1598.25	23.5
1599.29	27.5
1600.33	23.5
1601.37	24.5
1602.42	29
1603.46	25
1604.5	22
1605.54	26.5
1606.58	26.5
1607.62	25
1608.66	25.5
1609.7	27.5
1610.74	27.5
1611.78	23
1612.82	26.5
1613.86	23
1614.9	23.5
1615.94	28.5
1616.98	24
1618.02	27.5
1619.06	26
1620.1	26
1621.14	22
1622.18	26.5
1623.21	27
1624.25	23.5
1625.29	26.5
1626.33	26
1627.37	21
1628.4	26
1629.44	25.5
1630.48	22.5
1631.52	27
1632.55	23
1633.59	25.5
1634.63	27
1635.66	28
1636.7	29
1637.73	26
1638.77	28
1639.81	22
1640.84	29.5
1641.88	28.5
1642.91	25.5
1643.95	30
1644.98	25.5
1646.02	28
1647.05	24.5
1648.09	26
1649.12	29
1650.16	23
1651.19	23.5
1652.22	23
1653.26	25.5
1654.29	25.5
1655.32	28
1656.36	26.5
1657.39	25
1658.42	27
1659.46	26.5
1660.49	25
1661.52	24
1662.55	25.5
1663.59	26.5
1664.62	25.5
1665.65	26
1666.68	24
1667.71	27
1668.74	22
1669.77	26
1670.81	28.5
1671.84	24
1672.87	24.5
1673.9	25.5
1674.93	26.5
1675.96	28
1676.99	21
1678.02	23
1679.05	25
1680.08	22
1681.11	23
1682.13	23
1683.16	24.5
1684.19	28
1685.22	27.5
1686.25	27.5
1687.28	27.5
1688.31	22.5
1689.33	24.5
1690.36	26
1691.39	23
1692.42	23
1693.45	23
1694.47	27
1695.5	23.5
1696.53	22
1697.55	30
1698.58	22.5
1699.61	28.5
1700.63	24
1701.66	25
1702.68	28.5
1703.71	26.5
1704.74	21.5
1705.76	26
1706.79	24
1707.81	26.5
1708.84	28
1709.86	27
1710.89	26
1711.91	26.5
1712.94	25.5
1713.96	24
1714.98	26.5
1716.01	28
1717.03	27.5
1718.05	23
1719.08	21.5
1720.1	27
1721.12	25
1722.15	27.5
1723.17	26.5
1724.19	23.5
1725.22	29
1726.24	26.5
1727.26	22
1728.28	26.5
1729.3	28.5
1730.32	23.5
1731.35	21.5
1732.37	26
1733.39	25
1734.41	27
1735.43	27
1736.45	26.5
1737.47	25
1738.49	26
1739.51	28
1740.53	28.5
1741.55	26
1742.57	25.5
1743.59	25
1744.61	25
1745.63	30
1746.65	24.5
1747.67	24
1748.69	25
1749.71	28.5
1750.72	26.5
1751.74	26
1752.76	25
1753.78	26
1754.8	27.5
1755.81	20.5
1756.83	26.5
1757.85	23
1758.87	30.5
1759.88	25
1760.9	24
1761.92	23.5
1762.93	28
1763.95	27
1764.97	24
1765.98	24.5
1767	24
1768.01	23
1769.03	29
1770.05	26
1771.06	24
1772.08	27.5
1773.09	25
1774.11	24
1775.12	22
1776.13	27
1777.15	26
1778.16	24
1779.18	26.5
1780.19	23
1781.2	23
1782.22	28
1783.23	26.5
1784.24	26
1785.26	28
1786.27	25
1787.28	24.5
1788.3	23
1789.31	25
1790.32	25
1791.33	24.5
1792.35	23.5
1793.36	26
1794.37	27.5
1795.38	23.5
1796.39	25
1797.4	27.5
1798.41	23
1799.43	27.5
1800.44	26.5
1801.45	21
1802.46	27
1803.47	23.5
1804.48	25.5
1805.49	24.5
1806.5	23
1807.51	25
1808.52	28
1809.53	25
1810.53	21.5
1811.54	27.5
1812.55	24
1813.56	26.5
1814.57	26
1815.58	22
1816.59	26.5
1817.6	21.5
1818.6	24.5
1819.61	26
1820.62	24
1821.63	24
1822.63	23
1823.64	24
1824.65	26
1825.65	26
1826.66	21.5
1827.67	28
1828.67	26.5
1829.68	25
1830.69	22
1831.69	24
1832.7	27
1833.7	21.5
1834.71	22
1835.71	27
1836.72	28
1837.72	25
1838.73	28.5
1839.73	27
1840.74	25
1841.74	26.5
1842.75	26
1843.75	26
1844.75	21
1845.76	26.5
1846.76	23.5
1847.76	23
1848.77	25
1849.77	23.5
1850.77	23
1851.78	23
1852.78	27
1853.78	28
1854.78	28.5
1855.79	25
1856.79	27.5
1857.79	26
1858.79	28
1859.79	22
1860.8	25.5
1861.8	25
1862.8	23.5
1863.8	27
1864.8	26
1865.8	19
1866.8	25.5
1867.8	23
1868.8	27
1869.8	25.5
1870.8	28.5
1871.8	25
1872.8	25
1873.8	25.5
1874.8	25.5
1875.8	24
1876.8	24.5
1877.8	25
1878.79	23.5
1879.79	24
1880.79	24
1881.79	21
1882.79	23.5
1883.79	21
1884.78	25
1885.78	29
1886.78	26
1887.77	20
1888.77	23.5
1889.77	26
1890.77	24.5
1891.76	22
1892.76	23
1893.76	24
1894.75	23
1895.75	24
1896.74	22
1897.74	22
1898.73	22
1899.73	27.5
1900.72	25
1901.72	24
1902.72	22
1903.71	24.5
1904.7	25
1905.7	22.5
1906.69	24.5
1907.69	24.5
1908.68	27.5
1909.67	28.5
1910.67	24
1911.66	27.5
1912.66	21
1913.65	24
1914.64	22
1915.63	27
1916.63	22
1917.62	25.5
1918.61	27.5
1919.6	24.5
1920.6	24
1921.59	26
1922.58	25.5
1923.57	24
1924.56	24.5
1925.56	24.5
1926.55	29.5
1927.54	24.5
1928.53	28
1929.52	26.5
1930.51	27.5
1931.5	23
1932.49	22.5
1933.48	23
1934.47	25
1935.46	23
1936.45	26.5
1937.44	27
1938.43	24
1939.42	26
1940.41	23
1941.4	25.5
1942.39	25
1943.37	23
1944.36	29.5
1945.35	23
1946.34	26.5
1947.33	25.5
