#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
1061.19	23.5
1062.32	24.5
1063.44	25
1064.56	24
1065.68	26
1066.81	27
1067.93	25.5
1069.05	25
1070.17	26.5
1071.29	25
1072.41	26
1073.53	23
1074.65	26.5
1075.77	26
1076.89	25.5
1078.01	25
1079.13	24.5
1080.25	21
1081.37	29.5
1082.49	25.5
1083.61	21
1084.73	25.5
1085.85	26
1086.97	21.5
1088.09	29
1089.2	24.5
1090.32	26
1091.44	25.5
1092.56	24.5
1093.68	26.5
1094.79	26
1095.91	28
1097.03	26.5
1098.14	23
1099.26	24.5
1100.38	27.5
1101.49	24.5
1102.61	30.5
1103.73	25
1104.84	24.5
1105.96	25.5
1107.07	26
1108.19	25.5
1109.3	24
1110.42	30.5
1111.53	27
1112.65	23
1113.76	25
1114.88	23.5
1115.99	27
1117.1	27.5
1118.22	27
1119.33	29.5
1120.44	23.5
1121.56	24.5
1122.67	24
1123.78	24
1124.89	25
1126.01	27
1127.12	20
1128.23	22
1129.34	23.5
1130.45	23.5
1131.56	25
1132.67	21
1133.79	23.5
1134.9	21
1136.01	22.5
1137.12	27.5
1138.23	24
1139.34	21.5
1140.45	23.5
1141.56	20.5
1142.67	24
1143.78	22.5
1144.89	23
1145.99	23
1147.1	23.5
1148.21	22.5
1149.32	22
1150.43	27
1151.54	26
1152.65	24
1153.75	24
1154.86	25.5
1155.97	21.5
1157.08	22.5
1158.18	23
1159.29	23.5
1160.4	24.5
1161.5	24.5
1162.61	22.5
1163.72	27
1164.82	25
1165.93	27
1167.03	26
1168.14	28.5
1169.24	23
1170.35	24.5
1171.45	25
1172.56	24
1173.66	21.5
1174.77	25
1175.87	22
1176.98	21
1178.08	23.5
1179.18	24
1180.29	24
1181.39	22
1182.49	28.5
1183.6	23
1184.7	25
1185.8	27
1186.9	22.5
1188	25
1189.11	23.5
1190.21	23.5
1191.31	23.5
1192.41	23
1193.51	27
1194.61	28.4708
1195.72	24.9317
1196.82	27.5471
1197.92	24.1679
1199.02	22.7452
1200.12	26.8989
1201.22	25.984
1202.32	24.4166
1203.42	20.6465
1204.52	27.2694
1205.62	24.551
1206.71	21.4206
1207.81	24.6534
1208.91	21.8585
