#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	smp
#Site=	01-05-25
#Title=	A2_m05
#Remark=	smp5
#Date=	01.04.2025 14:03
#Acquired=	01.04.2025 14:03:44
1126.5	30
1127.61	27.5
1128.72	25.5
1129.83	31.5
1130.95	29
1132.06	32
1133.17	26
1134.28	27
1135.39	28.5
1136.5	31.5
1137.61	22
1138.72	28
1139.83	26
1140.94	28
1142.05	33
1143.16	29.5
1144.27	26
1145.38	28.5
1146.49	25.5
1147.6	31
1148.7	30.5
1149.81	30
1150.92	26.5
1152.03	28.5
1153.14	28.5
1154.25	27.5
1155.35	25.5
1156.46	29
1157.57	28
1158.67	29.5
1159.78	23
1160.89	26
1161.99	31.5
1163.1	26.5
1164.21	27.5
1165.31	29
1166.42	30
1167.52	26
1168.63	28
1169.73	28
1170.84	33.5
1171.94	30.5
1173.05	28
1174.15	31
1175.26	28
1176.36	24
1177.46	27.5
1178.57	26
1179.67	29
1180.78	22
1181.88	28
1182.98	30
1184.08	29
1185.19	30
1186.29	28
1187.39	33
1188.49	27
1189.6	28.5
1190.7	26.5
1191.8	28
1192.9	30
1194	28.5
1195.1	28
1196.2	29
1197.31	30.5
1198.41	26
1199.51	29.985
1200.61	29.4504
1201.71	26.5491
1202.81	25.5494
1203.91	31.3492
1205	30.3046
1206.1	27.9628
1207.2	30.2968
1208.3	28.7769
1209.4	28.8861
1210.5	29.0272
1211.6	27.2621
1212.7	24.3226
1213.79	23.1972
1214.89	25.6213
1215.99	26.7134
1217.09	30.2805
1218.18	28.7704
1219.28	25.7656
1220.38	28.7621
1221.47	27.8082
1222.57	25.5995
1223.67	25.6192
1224.77	26.7698
1225.86	26.089
1226.96	30.3267
1228.05	29.809
1229.15	26.0936
1230.24	26.9531
1231.34	28.051
1232.43	27.5821
1233.53	28.9742
1234.62	25.7268
1235.72	27.8137
1236.81	28.3869
1237.91	27.5769
1239	25.2059
1240.09	26.6219
1241.19	27.9967
1242.28	30.2179
1243.37	27.591
1244.47	29.6805
1245.56	25.4266
1246.65	28.8984
1247.75	27.2313
1248.84	29.0776
1249.93	28.1839
1251.02	31.2475
1252.11	29.8157
1253.2	29.8302
1254.3	29.4449
1255.39	28.8969
1256.48	31.8835
1257.57	32.0714
1258.66	27.8723
1259.75	32.3454
1260.84	31.8309
1261.93	32.4645
1263.02	34.4314
1264.11	30.7339
1265.2	31.6679
1266.29	30.4171
1267.38	29.3312
1268.47	29.8071
1269.56	30.6929
1270.65	28.9453
1271.74	29.5184
1272.82	25.971
1273.91	27.2823
1275	27.5386
1276.09	29.2883
1277.18	27.7676
1278.26	28.1492
1279.35	28.9882
1280.44	25.2179
1281.53	27.0513
1282.61	26.3299
1283.7	24.5239
1284.79	26.321
1285.87	25.2637
1286.96	26.0825
1288.04	27.2749
1289.13	27.9897
1290.22	28.502
1291.3	28.318
1292.39	26.3876
1293.47	29.6555
1294.56	29.0588
1295.64	29.5655
1296.73	28.9979
1297.81	28.306
1298.89	28.3727
1299.98	27.0273
1301.06	26.5943
1302.15	28.923
1303.23	27.5884
1304.31	25.5653
1305.4	27.7016
1306.48	24.5769
1307.56	26.7795
1308.44	27.3333
1309.53	28
1310.62	31.3333
1311.7	31.3333
1312.79	23.3333
1313.88	28.6667
1314.97	28.6667
1316.05	24.6667
1317.14	30.6667
1318.23	29.3333
1319.31	28
1320.4	27.3333
1321.49	28.6667
1322.57	26
1323.66	25.3333
1324.74	28.6667
1325.83	30
1326.91	28
1328	27.3333
1329.08	28.6667
1330.17	26.6667
1331.25	28.6667
1332.34	28
1333.42	29.3333
1334.5	30
1335.59	26
1336.67	29.3333
1337.76	27.3333
1338.84	24.6667
1339.92	24.6667
1341.01	24.6667
1342.09	27.3333
1343.17	32.6667
1344.25	34.6667
1345.34	31.3333
1346.42	26.6667
1347.5	30
1348.58	24
1349.66	30.6667
1350.75	26.6667
1351.83	26.6667
1352.91	24
1353.99	28.6667
1355.07	28.6667
1356.15	26.6667
1357.23	30.6667
1358.31	26.6667
1359.39	28.6667
1360.47	30.6667
1361.55	24
1362.63	28.6667
1363.71	30.6667
1364.79	30.6667
1365.87	28
1366.95	28.6667
1368.02	26.6667
1369.1	29.3333
1370.18	28.6667
1371.26	30.6667
1372.34	26
1373.42	25.3333
1374.49	31.3333
1375.57	27.3333
1376.65	35.3333
1377.72	24.6667
1378.8	24.6667
1379.88	24.6667
1380.95	31.3333
1382.03	28.6667
1383.11	28
1384.18	30.6667
1385.26	28.6667
1386.34	26.6667
1387.41	29.3333
1388.49	30.6667
1389.56	28
1390.64	31.3333
1391.71	30
1392.79	32.6667
1393.86	32.6667
1394.94	30
1396.01	32.6667
1397.08	36.6667
1398.16	33.3333
1399.23	36
1400.31	32
1401.38	33.3333
1402.45	34
1403.53	36.6667
1404.6	36.6667
1405.67	41.3333
1406.74	32.6667
1407.82	41.3333
1408.89	38
1409.96	41.3333
1411.03	39.3333
1412.1	41.3333
1413.18	38.6667
1414.25	40.6667
1415.32	32.6667
1416.39	37.3333
1417.46	34
1418.53	37.3333
1419.6	41.3333
1420.67	34.6667
1421.74	30.6667
1422.81	28
1423.88	35.3333
1424.95	32
1426.02	32
1427.09	30
1428.16	27.3333
1429.23	32
1430.3	29.3333
1431.36	30.6667
1432.43	28.6667
1433.5	34
1434.57	31.3333
1435.64	30.6667
1436.71	31.3333
1437.77	26
1438.84	32
1439.91	28.6667
1440.97	32
1442.04	32
1443.11	30
1444.18	30
1445.24	32
1446.31	28
1447.37	26
1448.44	34
1449.51	30.6667
1450.57	25.3333
1451.64	28
1452.7	32
1453.77	32
1454.83	31.3333
1455.9	29.3333
1456.96	26
1458.03	32
1459.09	24.6667
1460.15	28
1461.22	32
1462.28	33.3333
1463.35	28
1464.41	30
1465.47	32
1466.53	28
1467.6	30.6667
1468.66	27.3333
1469.72	28.6667
1470.79	28.6667
1471.85	30
1472.91	34.6667
1473.97	32
1475.03	36
1476.1	29.3333
1477.16	32
1478.22	30
1479.28	32.6667
1480.34	30
1481.4	30
1482.46	26.6667
1483.52	28.6667
1484.58	28
1485.64	26.6667
1486.7	32
1487.76	30.6667
1488.82	26
1489.88	27.3333
1490.94	30
1492	28.6667
1493.06	29.3333
1494.12	26.6667
1495.17	27.3333
1496.23	30.6667
1497.29	32.6667
1498.35	30.6667
1499.41	32
1500.46	31.3333
1501.52	35.3333
1502.58	34
1503.64	28
1504.69	26.6667
1505.75	32.6667
1506.81	30
1507.86	28.6667
1508.92	26
1509.98	32.6667
1511.03	26
1512.09	29.3333
1513.14	28.6667
1514.2	31.3333
1515.26	30
1516.31	27.3333
1517.37	27.3333
1518.42	31.3333
1519.47	28
1520.53	23.3333
1521.58	30
1522.64	29.3333
1523.69	30
1524.75	27.3333
1525.8	30
1526.85	29.3333
1527.91	28.6667
1528.96	26.6667
1530.01	33.3333
1531.07	23.3333
1532.12	30
1533.17	24.6667
1534.22	27.3333
1535.28	29.3333
1536.33	32.6667
1537.38	33.3333
1538.43	34
1539.48	32.6667
1540.54	27.3333
1541.59	30.6667
1542.64	29.3333
1543.69	31.3333
1544.74	28
1545.79	27.3333
1546.84	28
1547.89	30
1548.94	32.6667
1549.99	28
1551.04	25.3333
1552.09	22.6667
1553.14	30.6667
1554.19	27.3333
1555.24	30.6667
1556.29	27.3333
1557.34	26
1558.38	30
1559.43	29.3333
1560.48	31.3333
1561.53	29.3333
1562.58	24
1563.62	25.3333
1564.67	27.3333
1565.72	30
1566.77	30
1567.81	28.6667
1568.86	28.6667
1569.91	29.3333
1570.95	29.3333
1572	30.6667
1573.05	32
1574.09	30
1575.14	34.6667
1576.18	26.6667
1577.23	32
1578.28	32.6667
