#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	01
#Site=	01-05-25
#Title=	A1_m06
#Remark=	smp5
#Date=	01.04.2025 14:36
#Acquired=	01.04.2025 14:36:15
1590.81	53.5
1591.85	49
1592.89	47
1593.94	46
1594.98	51.5
1596.02	51.5
1597.07	54.5
1598.11	51.5
1599.15	48.5
1600.19	59
1601.23	47.5
1602.28	50.5
1603.32	47
1604.36	49
1605.4	52.5
1606.44	50.5
1607.48	54.5
1608.52	49.5
1609.56	50
1610.6	51
1611.64	50.5
1612.68	57.5
1613.72	51
1614.76	43
1615.8	52.5
1616.84	47.5
1617.88	49.5
1618.92	51
1619.96	43
1621	46.5
1622.04	51
1623.08	45
1624.11	53
1625.15	49
1626.19	53.5
1627.23	48.5
1628.27	52
1629.3	50
1630.34	54
1631.38	49.5
1632.41	50.5
1633.45	51
1634.49	50
1635.52	52
1636.56	49.5
1637.6	52
1638.63	49
1639.67	48.5
1640.7	50.5
1641.74	51.5
1642.77	52
1643.81	44
1644.84	49
1645.88	52.5
1646.91	53
1647.95	49.5
1648.98	49.5
1650.02	48
1651.05	46
1652.09	53.5
1653.12	49.5
1654.15	54
1655.19	47
1656.22	48.5
1657.25	47.5
1658.29	51
1659.32	51.5
1660.35	50
1661.38	48
1662.42	45.5
1663.45	52
1664.48	50.5
1665.51	51.5
1666.54	48
1667.57	46
1668.61	47
1669.64	49.5
1670.67	51.5
1671.7	48
1672.73	49
1673.76	48.5
1674.79	45.5
1675.82	47
1676.85	48
1677.88	51
1678.91	50
1679.94	48
1680.97	52
1682	51
1683.03	47
1684.06	51
1685.08	48
1686.11	48
1687.14	49
1688.17	47
1689.2	51.5
1690.23	48
1691.25	50
1692.28	49
1693.31	52
1694.34	45.5
1695.36	46
1696.39	51
1697.42	49
1698.44	52
1699.47	54.5
1700.5	46
1701.52	48.5
1702.55	49.5
1703.57	43
1704.6	48
1705.63	50
1706.65	49
1707.68	50
1708.7	49.5
1709.73	45
1710.75	48.5
1711.78	45
1712.8	43.5
1713.82	47.5
1714.85	46
1715.87	49
1716.9	49.5
1717.92	47.5
1718.94	44
1719.97	49.5
1720.99	49
1722.01	47
1723.04	43.5
1724.06	43
1725.08	50.5
1726.1	47
1727.12	53
1728.15	49.5
1729.17	49.5
1730.19	47.5
1731.21	50.5
1732.23	50
1733.26	46
1734.28	48.5
1735.3	53
1736.32	46
1737.34	53
1738.36	47.5
1739.38	44.5
1740.4	48.5
1741.42	45
1742.44	53.5
1743.46	46
1744.48	47.5
1745.5	47
1746.52	48
1747.54	47
1748.55	49.5
1749.57	51
1750.59	47
1751.61	49.5
1752.63	47
1753.65	45
1754.66	43.5
1755.68	46
1756.7	49
1757.72	48
1758.73	45.5
1759.75	45
1760.77	47
1761.78	51.5
1762.8	48.5
1763.82	45.5
1764.83	49.5
1765.85	48
1766.87	49
1767.88	44.5
1768.9	46.5
1769.91	43.5
1770.93	49.5
1771.94	45
1772.96	49.5
1773.97	45.5
1774.99	49.5
1776	48.5
1777.02	48
1778.03	46.5
1779.05	48.5
1780.06	53
1781.07	42.5
1782.09	50.5
1783.1	48
1784.11	47.5
1785.13	51
1786.14	46.5
1787.15	44
1788.17	44.5
1789.18	50
1790.19	51.5
1791.2	49
1792.22	46.5
1793.23	45.5
1794.24	46
1795.25	53
1796.26	43
1797.27	46
1798.28	44.5
1799.29	49.5
1800.31	48
1801.32	48
1802.33	45.5
1803.34	45.5
1804.35	45.5
1805.36	45.5
1806.37	45
1807.38	47.5
1808.39	47
1809.4	47.5
1810.4	48
1811.41	41.5
1812.42	43.5
1813.43	47.5
1814.44	46
1815.45	49
1816.46	49.5
1817.47	47
1818.47	48.5
1819.48	49
1820.49	41.5
1821.5	50.5
1822.5	42
1823.51	47
1824.52	44.5
1825.52	49.5
1826.53	45
1827.54	46.5
1828.54	45.5
1829.55	51
1830.56	47.5
1831.56	48.5
1832.57	45
1833.57	48.5
1834.58	44
1835.58	45.5
1836.59	52
1837.6	46.5
1838.6	40
1839.61	45
1840.61	42.5
1841.61	45.5
1842.62	47
1843.62	47.5
1844.63	47
1845.63	47
1846.63	43
1847.64	51
1848.64	51
1849.64	46.5
1850.65	47.5
1851.65	46
1852.65	43.5
1853.65	43
1854.66	42
1855.66	45
1856.66	46.5
1857.66	45.5
1858.67	46
1859.67	42.5
1860.67	46
1861.67	47
1862.67	49
1863.67	45
1864.67	46
1865.67	40.5
1866.67	45.5
1867.67	48
1868.67	46
1869.67	49
1870.67	46
1871.67	48.5
1872.67	48.5
1873.67	45.5
1874.67	47
1875.67	46.5
1876.67	44
1877.67	47
1878.67	49.5
1879.67	43.5
1880.66	48.5
1881.66	44.5
1882.66	45.5
1883.66	50
1884.66	49
1885.65	46
1886.65	45
1887.65	47
1888.65	43.5
1889.64	44
1890.64	46
1891.64	45.5
1892.63	48
1893.63	49
1894.62	46
1895.62	45.5
1896.62	47.5
1897.61	43
1898.61	44.5
1899.6	43.5
1900.6	47.5
1901.59	48
1902.59	43
1903.58	48.5
1904.58	45
1905.57	45
1906.57	43
1907.56	44.5
1908.56	47
1909.55	46
1910.54	47.5
1911.54	48
1912.53	50
1913.52	47
1914.52	46
